(987)
2 (726)
3 (447)
4 (107)
5 (53)
6 (53)
7 (148)
8 (82)
12 18 47 (75)
2 12 47 (57)
12 14 47 (74)
2 18 47 (128)
14 18 47 (170)
2 3 47 (64)
3 14 47 (65)
2 14 47 (161)
17 28 40 (54)
2 17 28 (79)
14 17 28 (89)
2 28 40 (63)
14 28 40 (55)
3 12 28 (52)
2 12 28 (81)
12 14 28 (81)
2 3 28 (97)
3 14 28 (83)
2 14 28 (157)
12 17 40 (91)
17 18 40 (139)
2 17 40 (159)
14 17 40 (183)
12 17 18 (135)
2 12 17 (133)
12 14 17 (138)
3 17 18 (82)
2 17 18 (220)
14 17 18 (230)
2 3 17 (96)
3 14 17 (98)
2 14 17 (262)
12 18 40 (103)
2 12 40 (96)
12 14 40 (115)
2 18 40 (158)
14 18 40 (203)
2 3 40 (66)
3 14 40 (57)
2 14 40 (212)
3 12 18 (93)
2 12 18 (195)
12 14 18 (208)
2 3 12 (191)
3 12 14 (191)
2 12 14 (296)
2 3 18 (154)
3 14 18 (158)
2 14 18 (309)
2 3 14 (332)
5 6 8 10 (53)
5 6 10 13 (53)
5 6 10 11 (53)
4 5 6 10 (53)
5 6 9 10 (53)
5 6 7 10 (53)
5 6 10 12 (53)
3 5 6 10 (53)
2 5 6 10 (53)
5 6 10 14 (53)
5 6 8 13 (53)
5 6 8 11 (53)
4 5 6 8 (53)
5 6 8 9 (53)
5 6 7 8 (53)
5 6 8 12 (53)
3 5 6 8 (53)
2 5 6 8 (53)
5 6 8 14 (53)
5 6 11 13 (53)
4 5 6 13 (53)
5 6 9 13 (53)
5 6 7 13 (53)
5 6 12 13 (53)
3 5 6 13 (53)
2 5 6 13 (53)
5 6 13 14 (53)
4 5 6 11 (53)
5 6 9 11 (53)
5 6 7 11 (53)
5 6 11 12 (53)
3 5 6 11 (53)
2 5 6 11 (53)
5 6 11 14 (53)
4 5 6 9 (53)
4 5 6 7 (53)
4 5 6 12 (53)
3 4 5 6 (53)
2 4 5 6 (53)
4 5 6 14 (53)
5 6 7 9 (53)
